threshold,alpha,n_active,n_bias,n_linear,n_quadratic,n_interaction,train_rmse,train_spearman,train_r2,test_rmse,test_mae,test_spearman,test_pearson,test_directional,test_r2
0.2,0.5,5,0,0,2,3,0.967271542698144,0.02752688838868526,0.0013031310827396059,1.0268215927126076,0.8836446408225721,-0.10506994555976974,-0.11742954709168936,0.47842401500938087,-0.010526271768428908
0.2,1.0,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.0001,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.001,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.005,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.01,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.05,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.1,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,0.5,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.3,1.0,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.0001,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.001,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.005,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.01,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.05,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.1,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,0.5,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
0.5,1.0,0,0,0,0,0,0.9679178991196462,,-3.202617282127562e-05,1.0239850839395888,0.8810076330272716,,,0.0,-0.0049509944145063045
